code_insee	code_postal
25620	25650
25622	25170
25624	25640
25631	25320
25635	25430
26003	26770
26009	26140
26010	26140
26016	26110
26027	26150
26031	26160
26033	26790
26035	26400
26056	26460
26061	26260
26062	26340
26064	26120
26070	26230
26078	26450
26079	26300
26080	26340
26084	26300
26085	26780
26089	26110
26091	26510
26095	26450
26098	26400
26099	26230
26106	26740
26123	26470
26125	26400
26130	26110
26136	26310
26144	26400
26146	26230
26147	26470
26150	26560
26152	26310
26153	26560
26167	26310
26171	26160
26190	26110
26197	26120
26199	26510
26200	26560
26202	26220
26212	26120
26227	26510
26234	26400
26235	26700
26239	26170
26243	26160
26249	26160
26255	26310
26257	26160
26259	26330
26266	26340
26267	26170
26269	26110
26272	26160
26276	26770
26277	26400
26285	26770
26288	26510
26290	26420
26292	26170
26293	26330
26295	26240
26296	26340
26303	26170
26304	26110
26306	26110
26307	26190
26313	26320
26321	26340
26322	26770
26329	26110
26336	26400
26339	26740
26343	26160
26345	26790
26353	26740
26356	26460
26357	26790
26359	26150
26367	26110
26372	26560
27001	27800
27002	27570
27011	27370
27015	27430
27017	27930
27025	27490
27032	27240
27034	27440
27035	27260
27036	27130
27037	27170
27044	27180
27048	27480
27049	27270
27049	27410
27051	27170
27057	27180
27062	27370
27073	27220
27074	27800
27098	27150
27105	27520
27112	27160
27127	27400
27129	27300
27130	27270
27140	27120
27148	27270
27157	27240
27161	27180
27164	27170
27165	27190
27169	27210
27180	27940
27182	27130
27185	27110
27187	27110
27192	27110
27196	27340
27198	27240
27200	27930
27201	27110
27202	27430
27209	27290
27210	27170
27213	27510
27213	27630
27216	27930
27217	27190
27228	27350
27230	27530
27235	27190
27237	27230
27242	27190
27248	27230
27256	27220
27261	27370
27263	27680
27266	27800
27279	27620
27289	27390
27299	27930
27312	27120
27315	27700
27319	27350
27323	27330
27331	27630
27334	27230
27339	27400
27346	27440
27354	27110
27361	27210
27364	27470
27365	27690
27373	27480
27376	27650
27400	27640
27404	27390
27405	27150
27415	27260
27419	27220
27421	27220
27423	27650
27429	27730
27435	27560
27447	27190
27453	27910
27462	27230
27477	27510
27488	27910
27492	27170
27501	27120
27505	27390
27517	27600
27520	27450
27521	27820
27528	27100
27531	27520
27546	27930
27548	27320
27553	27600
27554	27950
27558	27520
27562	27950
27564	27230
27565	27160
27569	27300
27570	27930
27571	27450
27576	27110
27584	27800
27586	27520
27587	27290
27599	27600
27611	27930
27614	27150
27615	27930
27618	27190
27622	27470
27625	27420
27627	27230
27629	27230
27644	27510
27650	27180
27655	27500
27660	27270
27662	27500
27668	27120
27671	27210
27677	27110
27680	27390
27689	27120
27690	27420
27693	27240
27697	27400
27699	27520
28006	28300
28008	28170
28012	28220
28012	28290
28015	28700
28019	28140
28023	28320
28029	28140
28034	28300
28035	28630
28050	28260
28052	28130
28059	28270
28068	28300
28085	28000
28088	28200
28089	28170
28090	28270
28092	28700
28094	28210
28116	28190
28121	28140
28123	28160
28126	28800
28127	28160
28137	28320
28143	28270
28146	28210
28149	28340
28157	28140
28159	28250
28160	28700
28176	28800
28177	28630
28188	28700
28191	28130
28196	28120
28197	28310
28199	28310
28202	28340
28209	28300
28215	28150
28220	28600
28226	28170
28227	28130
28233	28200
28236	28400
28240	28240
28242	28120
28246	28360
28251	28500
28253	28630
28256	28200
